category,brand,model,variant,weight_g,price_sgd,notes,source,link
Fork,RockShox,Reba RL,100-120mm Boost,1650,689,"Light XC fork, lockout",Tay Junction,
Fork,RockShox,Judy Gold RL,100-120mm Boost,1775,560,"Budget, reliable",Giant SG,
Fork,RockShox,Recon Silver RL,120mm Boost,1850,560,Budget-capable,Giant SG,
Fork,FOX,32 Step-Cast Factory,"100mm, FIT4, Kabolt",1490,1350,Top-tier XC fork,Cycle Project Store,
Fork,FOX,32 Rhythm,120mm Boost,1950,990,"OEM-class, sturdy",Rodalink,
Wheelset,DT Swiss,XR 1700 SPLINE 29,25mm int,1672,1250,"Alloy, 350 hubs",Local SG,
Wheelset,DT Swiss,AR 1600 SPLINE 29,25mm int,1790,1050,Value DT option,Local SG,
Wheelset,DT Swiss,X 1900 SPLINE 29,25mm int,1990,720,"Entry DT, robust",Treknology,
Wheelset,DT Swiss,XR 1650 SPLINE 29,25mm int,1720,1120,Light XC alloy,Local SG,
Drivetrain,Shimano,SLX M7100 1x12,10-51T,2000,590,Shifter+RD+cassette+chain,DCBikes,
Drivetrain,Shimano,Deore M6100 1x12,10-51T,2150,428,Budget wide-range,DCBikes,
Drivetrain,Shimano,XT M8100 1x12,10-51T,1880,820,XT shifter+RD+cassette+chain,DCBikes,
Drivetrain,SRAM,GX Eagle 1x12,10-52T (XD),1990,890,GX mech set,Hup Leong,
Brakes,Shimano,SLX M7100 (pair),2-piston,1080,245,Mineral oil,DCBikes,
Brakes,Shimano,XT M8100 (pair),2-piston,920,360,"Lighter, strong",DCBikes,
Brakes,Shimano,Deore M6100 (pair),2-piston,1040,190,Great value,DCBikes,
Brakes,Shimano,SLX M7120 (pair),4-piston,1200,420,More power,DCBikes,
Rotors,Shimano,RT66 (pair),180/160 6-bolt,300,70,Steel rotors,DCBikes,
Rotors,Shimano,RT-MT800 (pair),Freeza 180/160 CL,280,130,Ice-Tech Freeza,DCBikes,
Rotors,Shimano,RT-CL800 (pair),Centerlock 180/160,285,150,New gen CL,DCBikes,
BottomBracket,Shimano,BB-MT800-T47,73mm,95,110,Shimano T47 MTB,DCBikes,
BottomBracket,Praxis,T47 Shimano,73mm,90,127.5,Threaded T47,Elite Custom,
BottomBracket,Wheels Mfg,T47 Outboard Shimano,73mm,100,180,Serviceable cups,Elite Custom,
TyreFront,Vittoria,Barzo,29x2.35 TLR,730,59,Front grip,JanjiRide,
TyreFront,Maxxis,Ardent Race,29x2.35 EXO TR,790,75,Fast front,New Era,
TyreFront,Schwalbe,Racing Ray,29x2.35 Addix,740,79,XC front grip,Treknology,
TyreFront,Pirelli,Scorpion XC M,29x2.4,800,85,Mixed terrain,Rodalink,
TyreRear,Vittoria,Mezcal,29x2.25 TLR,700,59,Fast rear,JanjiRide,
TyreRear,Maxxis,Rekon Race,29x2.35 EXO TR,730,75,Fast rear,New Era,
TyreRear,Schwalbe,Racing Ralph,29x2.35 Addix,720,79,Fast XC rear,Treknology,
TyreRear,Pirelli,Scorpion XC RC,29x2.35,740,85,Race rear,Rodalink,
CockpitBar,Ritchey,WCS Flat Trail,"31.8, 740mm",280,109,Quality alloy bar,Hup Leong,
CockpitBar,Race Face,Ride Flat,"31.8, 740mm",320,60,Value alloy,Carousell,
CockpitBar,Generic,Alloy Flat Bar,"31.8, 740mm",300,40,Budget alloy,Carousell,
CockpitStem,Thomson,Elite X4,"31.8, 70mm",150,140,Bombproof,Hup Leong,
CockpitStem,Race Face,Turbine,"31.8, 70mm",138,95,Light alloy,Hup Leong,
CockpitStem,Generic,Alloy Stem,"31.8, 70mm",120,35,Budget alloy,Carousell,
Seatpost,Thomson,Elite,27.2mm,250,160,Reliable,Hup Leong,
Seatpost,Ritchey,Comp 2-Bolt,27.2mm,285,85,Good value,Hup Leong,
Seatpost,Generic,Alloy Seatpost,27.2mm,280,50,Rigid post,Carousell,
Fork,Rockshox,REBA RL (A9),1200 mm,100.0,800.0,wight tbd,https://giant-bicycles.com.sg,https://giant-bicycles.com.sg
